date,store_id,sku,units,amount
2025-02-21,W05,TY01,3,64500
2025-02-23,W05,TY01,5,103000
2025-02-01,C03,GD02,4,249900
2025-03-21,C03,BK01,2,33900
2025-01-16,E04,FD01,2,14800
2025-03-09,W05,BK02,5,85100
2025-02-21,C03,FD01,2,13400
2025-01-18,N01,GD02,2,123800
2025-01-01,E04,FD01,1,6600
2025-03-28,S02,BK01,4,65100
2025-02-01,S02,GD02,2,95900
2025-03-22,N01,FD01,1,6300
2025-01-05,W05,BK02,2,36000
2025-01-06,C03,TY01,2,43000
2025-02-18,W05,GD02,1,46900
2025-01-28,E04,GD01,2,73100
2025-03-06,E04,GD02,3,171700
2025-02-09,N01,GD02,2,94300
2025-02-25,E04,BK01,1,14600
2025-02-15,E04,GD02,2,111700
2025-03-01,C03,GD02,6,354000
2025-01-20,W05,GD01,3,113500
2025-02-13,W05,TY01,2,43000
2025-03-05,S02,ST01,2,15700
2025-02-18,C03,TY01,2,50600
2025-01-09,S02,GD01,2,76200
2025-01-25,E04,GD01,1,37500
2025-03-12,E04,ST01,4,32800
2025-02-09,S02,BK01,2,26600
2025-02-15,S02,GD01,2,80000
2025-02-28,N01,TY01,2,43100
2025-03-07,C03,BK01,3,51000
2025-02-25,S02,TY01,1,22600
2025-01-09,N01,GD01,1,46800
2025-03-11,N01,ST01,2,17300
2025-01-28,S02,TY01,2,55700
2025-01-08,W05,BK02,4,65400
2025-01-26,C03,GD01,2,75900
2025-03-06,N01,FD01,1,6500
2025-03-06,S02,BK01,1,15900
2025-02-28,S02,FD01,1,6100
2025-01-06,W05,GD02,1,57300
2025-03-12,W05,FD01,4,26700
2025-03-24,W05,BK02,3,64900
2025-01-10,N01,TY01,1,28200
2025-03-11,E04,GD01,2,89000
2025-03-07,S02,FD01,1,7800
2025-02-01,E04,GD02,3,148400
2025-03-16,C03,TY01,2,44900
2025-02-24,C03,ST01,1,8500
2025-03-05,N01,GD01,3,145500
2025-03-22,E04,BK02,2,39900
2025-03-15,N01,GD01,2,73300
2025-01-02,S02,GD02,1,52000
2025-03-12,W05,GD01,1,48600
2025-03-11,W05,GD01,3,113900
2025-03-21,N01,BK01,4,66800
2025-03-22,E04,ST01,1,8700
2025-02-02,N01,GD01,3,116200
2025-02-06,S02,BK02,4,89800
2025-01-21,S02,BK02,3,60800
2025-02-03,C03,GD01,2,92300
2025-03-07,S02,GD02,1,47300
2025-03-18,W05,GD02,1,61200
2025-01-16,S02,FD01,3,20500
2025-02-20,W05,GD02,1,48600
2025-02-21,E04,GD01,5,187100
2025-02-06,S02,ST01,1,9300
2025-01-26,N01,BK01,1,13000
2025-02-21,C03,ST01,2,15600
2025-01-22,C03,BK01,4,57600
2025-01-02,S02,FD01,2,14400
2025-01-19,W05,GD02,1,47400
2025-01-12,W05,GD01,3,109500
2025-01-21,S02,GD01,1,45600
2025-03-04,S02,ST01,4,32800
2025-02-22,S02,GD02,1,51300
2025-02-22,C03,BK02,1,18600
2025-01-10,W05,GD02,2,124800
2025-03-08,C03,BK02,1,18400
2025-02-11,W05,BK02,4,82000
2025-02-09,C03,ST01,1,8300
2025-03-15,W05,BK02,6,103900
2025-02-06,W05,BK02,6,122400
2025-02-16,N01,TY01,1,26600
2025-03-16,W05,TY01,2,54700
2025-01-23,W05,BK02,6,102800
2025-02-24,N01,BK02,2,44100
2025-03-26,W05,GD02,3,170200
2025-02-01,S02,GD01,1,49300
2025-01-14,E04,BK02,1,21600
2025-03-11,W05,GD01,1,36900
2025-01-21,N01,GD01,2,75800
2025-01-26,C03,BK02,2,34100
2025-01-11,E04,ST01,4,35600
2025-01-17,S02,TY01,1,25600
2025-02-18,S02,GD02,2,102700
2025-02-23,E04,GD02,2,96400
2025-03-27,N01,GD02,5,261900
2025-01-05,W05,FD01,4,27300
2025-01-19,E04,BK02,3,64100
2025-03-26,E04,BK02,3,61000
2025-03-27,N01,GD01,1,41200
2025-03-15,W05,BK01,1,14200
2025-02-06,S02,TY01,2,43100
2025-01-12,S02,BK01,2,24600
2025-03-09,E04,FD01,1,5900
2025-03-10,S02,ST01,4,32000
2025-03-25,S02,BK01,2,32000
2025-02-19,E04,BK02,1,16800
2025-01-20,E04,FD01,1,6500
2025-03-12,N01,ST01,3,25500
2025-03-20,S02,GD02,2,126200
2025-02-14,C03,BK02,1,17000
