date,store_id,sku,units,amount
2025-06-27,S02,GD01,2,71400
2025-04-22,C03,BK01,5,81000
2025-05-24,E04,FD01,2,12600
2025-05-27,W05,FD01,1,7800
2025-04-27,S02,FD01,2,12500
2025-04-10,S02,FD01,3,17400
2025-06-26,E04,FD01,2,11800
2025-04-16,N01,BK02,1,19400
2025-05-01,W05,TY01,2,47900
2025-04-13,S02,BK02,2,42200
2025-06-25,W05,GD01,2,73900
2025-04-14,C03,GD02,2,125000
2025-05-04,S02,GD01,1,35100
2025-06-19,E04,ST01,2,16300
2025-06-15,C03,FD01,1,6400
2025-06-05,W05,ST01,3,23600
2025-06-18,S02,BK02,4,82700
2025-06-16,E04,GD02,2,93600
2025-05-18,N01,ST01,2,18300
2025-04-27,E04,BK01,1,15300
2025-05-22,W05,BK01,1,14500
2025-06-16,W05,BK02,1,22700
2025-05-24,N01,ST01,6,57300
2025-06-26,W05,BK01,1,15700
2025-06-09,N01,TY01,1,25900
2025-04-27,W05,ST01,2,18800
2025-06-19,C03,GD02,6,335300
2025-04-13,W05,BK02,2,39300
2025-05-10,N01,ST01,1,7400
2025-06-26,E04,FD01,1,7200
2025-04-15,N01,TY01,1,21900
2025-06-01,E04,TY01,1,27600
2025-04-17,C03,FD01,2,14700
2025-05-04,S02,FD01,4,24900
2025-06-27,W05,FD01,5,34600
2025-04-16,S02,ST01,3,25200
2025-05-15,S02,BK01,1,13600
2025-04-23,E04,BK01,2,32500
2025-06-22,N01,TY01,2,44300
2025-05-14,E04,BK01,3,48600
2025-05-08,N01,BK01,2,29100
2025-05-28,W05,TY01,2,48100
2025-06-23,E04,GD02,2,104200
2025-04-05,N01,ST01,5,47300
2025-04-20,S02,GD02,4,204600
2025-06-21,E04,BK02,2,36700
2025-04-25,C03,FD01,2,11300
2025-04-26,N01,GD01,6,294100
2025-05-02,C03,GD01,4,180600
2025-04-18,E04,BK02,2,44700
2025-04-08,S02,GD01,2,87800
2025-04-09,E04,FD01,3,23200
2025-04-17,W05,TY01,3,67600
2025-06-23,W05,ST01,4,34000
2025-05-06,S02,BK02,1,19100
2025-06-01,N01,ST01,2,19000
2025-05-13,E04,TY01,1,24900
2025-06-02,E04,GD02,3,181400
2025-04-24,C03,BK01,2,30100
2025-06-21,W05,BK02,3,66900
2025-04-28,S02,GD01,1,48000
2025-06-19,S02,BK02,3,66100
2025-05-09,W05,TY01,1,22500
2025-05-16,N01,ST01,3,22800
2025-06-16,S02,ST01,1,9800
2025-04-12,W05,GD01,4,151900
2025-06-05,C03,BK01,6,87200
2025-04-22,N01,BK01,3,48300
2025-04-20,S02,GD01,2,74800
2025-04-21,C03,GD02,1,59700
2025-04-18,W05,FD01,3,19400
2025-04-13,W05,FD01,2,13400
2025-06-27,S02,FD01,4,29400
2025-05-25,W05,GD01,1,38500
2025-06-01,W05,GD01,5,188900
2025-04-13,W05,TY01,2,44400
2025-06-01,E04,GD02,1,49300
2025-05-04,W05,BK01,1,13300
2025-06-10,N01,TY01,3,68300
2025-04-20,E04,BK01,2,25900
2025-05-07,N01,FD01,3,20700
2025-06-14,S02,BK01,4,52700
2025-04-27,C03,GD01,2,71900
2025-04-02,E04,BK02,1,17200
2025-05-21,W05,GD02,3,176700
2025-05-02,S02,TY01,4,96500
2025-06-06,N01,FD01,4,24200
2025-05-04,E04,GD02,4,237200
2025-04-05,C03,BK01,1,15000
2025-06-01,W05,BK02,2,42200
2025-05-28,S02,BK02,1,22200
2025-06-16,N01,BK02,1,21500
2025-04-15,S02,TY01,1,24500
2025-04-12,W05,ST01,3,22600
2025-05-15,E04,BK01,4,59900
2025-04-04,W05,TY01,1,23600
2025-06-11,N01,BK02,2,41400
2025-06-25,S02,GD01,1,44900
2025-04-11,S02,GD02,1,51700
2025-04-03,W05,BK02,1,21900
2025-05-05,W05,ST01,3,28100
2025-05-01,E04,FD01,1,7400
2025-06-05,C03,FD01,3,23200
2025-04-22,C03,BK02,1,21600
2025-05-28,S02,BK01,3,38700
2025-05-22,E04,TY01,1,25500
2025-06-04,C03,FD01,2,11600
2025-05-26,W05,TY01,4,92400
2025-04-25,E04,TY01,2,48700
2025-04-28,S02,ST01,4,29600
2025-06-02,E04,GD02,2,121600
2025-04-16,N01,FD01,2,13400
2025-05-04,W05,GD02,1,58600
2025-06-26,N01,ST01,1,9700
2025-04-14,S02,GD01,2,92600
2025-05-12,W05,GD02,2,116100
2025-04-27,C03,TY01,1,26400
2025-05-01,C03,ST01,1,9700
2025-06-07,E04,BK02,6,101500
2025-05-09,N01,BK02,1,21700
2025-04-17,N01,BK01,6,79800
2025-06-14,E04,ST01,2,16700
2025-04-26,C03,BK02,4,81900
2025-04-09,C03,GD02,2,97900
2025-04-13,W05,GD02,4,210000
2025-06-26,E04,TY01,5,117500
2025-06-05,S02,GD02,6,314100
2025-05-09,C03,BK02,1,21900
2025-06-21,S02,BK02,2,36600
2025-04-26,W05,TY01,4,90300
2025-06-01,C03,BK02,2,35500
2025-04-04,S02,BK01,4,61700
2025-06-13,E04,ST01,5,47700
2025-05-21,C03,FD01,4,29600
2025-06-04,C03,ST01,1,9800
2025-04-14,E04,TY01,2,53400
2025-05-06,C03,BK01,2,27900
2025-06-05,E04,TY01,4,110600
2025-06-13,S02,GD02,2,108200
2025-06-17,S02,TY01,2,49900
2025-04-08,W05,ST01,1,9000
2025-04-13,C03,TY01,1,27600
2025-04-17,N01,GD01,2,96100
2025-05-05,W05,GD01,1,38400
2025-06-02,S02,TY01,1,22800
2025-04-04,C03,GD02,5,237500
2025-06-03,S02,FD01,3,22200
2025-05-15,E04,GD02,4,194400
2025-04-04,S02,TY01,2,41600
2025-05-10,W05,GD02,1,59800
2025-05-27,W05,TY01,1,25400
2025-05-17,C03,BK02,1,16600
2025-05-21,W05,GD01,1,38000
2025-06-19,W05,BK01,1,16900
2025-06-23,C03,FD01,3,23600
2025-05-20,N01,GD02,3,139000
2025-05-18,N01,GD02,2,106600
2025-04-11,C03,ST01,2,14400
2025-05-24,W05,GD02,2,117300
2025-06-12,N01,TY01,1,23000
2025-05-23,W05,TY01,3,76400
2025-06-13,N01,ST01,1,7500
2025-05-25,W05,BK02,4,85900
2025-04-25,S02,TY01,2,44600
2025-04-26,W05,FD01,1,6500
2025-05-13,W05,FD01,2,11500
2025-04-22,C03,BK01,2,27700
2025-06-02,S02,TY01,3,64700
2025-06-12,E04,GD01,1,47900
2025-04-11,W05,BK02,2,35000
2025-04-17,N01,ST01,1,8100
2025-06-15,S02,ST01,2,18300
2025-06-18,E04,TY01,1,26800
2025-06-09,N01,BK01,2,30600
2025-04-21,E04,FD01,2,14900
2025-05-05,C03,BK01,1,16800
2025-06-13,E04,ST01,1,7100
2025-04-23,S02,GD01,1,41800
2025-04-01,S02,BK02,1,17900
2025-06-03,W05,ST01,2,17200
2025-06-26,S02,BK01,1,12200
2025-04-09,N01,FD01,2,14100
2025-06-08,W05,BK01,1,16200
2025-05-03,N01,BK02,2,36800
2025-05-16,E04,BK01,6,93300
2025-04-23,N01,ST01,2,15100
2025-04-11,W05,GD01,1,37000
2025-04-26,N01,BK01,3,48600
2025-04-11,N01,GD01,5,242100
2025-06-16,N01,GD02,1,50100
2025-04-05,E04,TY01,1,27500
2025-06-05,W05,BK02,2,36800
2025-05-07,S02,ST01,3,29200
2025-05-24,S02,TY01,1,22900
2025-04-14,E04,BK02,6,99200
2025-05-03,N01,BK02,1,18100
2025-04-13,N01,ST01,1,9800
2025-04-10,E04,TY01,1,28200
2025-06-26,E04,FD01,1,6700
2025-04-01,N01,BK01,6,87700
2025-04-03,N01,BK02,2,44100
2025-05-18,S02,GD01,1,39500
2025-05-07,W05,GD01,2,75400
2025-04-26,W05,BK01,1,15100
2025-05-09,S02,TY01,3,69700
2025-04-15,N01,BK01,4,67300
2025-04-28,C03,TY01,3,80600
2025-04-14,C03,GD01,3,133600
2025-06-07,N01,ST01,1,8000
2025-06-16,E04,GD01,2,85900
2025-04-20,N01,BK02,4,69000
2025-06-23,S02,GD01,1,36500
2025-06-23,W05,FD01,3,21200
2025-05-19,N01,BK02,2,39800
2025-04-22,N01,BK02,2,43900
2025-05-19,W05,GD02,2,119700
2025-04-12,N01,ST01,3,23400
2025-05-02,E04,BK02,2,40700
2025-05-22,C03,BK01,1,13700
2025-05-06,W05,FD01,4,25900
