date,store_id,sku,units,amount
2025-11-01,W05,BK01,3,47300
2025-10-05,S02,ST01,2,15100
2025-11-22,E04,BK01,2,29100
2025-12-04,N01,FD01,2,15700
2025-11-21,S02,GD01,2,89200
2025-11-02,S02,BK01,2,28200
2025-10-11,N01,BK01,1,15300
2025-10-14,S02,BK02,1,16200
2025-10-08,W05,ST01,5,42700
2025-10-11,N01,BK02,1,21400
2025-12-26,N01,BK01,6,75300
2025-10-04,S02,GD02,3,152600
2025-11-18,W05,GD02,6,350400
2025-11-19,E04,TY01,1,21800
2025-12-18,S02,FD01,1,5800
2025-11-02,N01,BK02,1,19000
2025-12-05,W05,ST01,4,36700
2025-10-17,N01,BK02,2,39000
2025-12-04,S02,GD02,1,64500
2025-10-01,S02,BK01,2,33500
2025-11-22,W05,GD02,3,148400
2025-11-06,N01,TY01,2,56200
2025-11-02,S02,ST01,3,24100
2025-12-02,E04,GD02,1,64200
2025-10-01,E04,BK01,4,54000
2025-10-04,C03,ST01,2,18400
2025-11-22,E04,TY01,3,74200
2025-11-27,W05,BK01,1,16200
2025-10-25,N01,FD01,4,25600
2025-10-25,S02,BK01,1,14600
2025-11-07,W05,GD01,3,147800
2025-12-11,S02,TY01,1,25500
2025-12-20,S02,BK01,2,27900
2025-10-23,W05,TY01,5,136900
2025-12-02,S02,BK02,4,77400
2025-10-19,N01,TY01,1,28300
2025-12-04,W05,BK01,1,14600
2025-12-23,C03,BK01,1,14800
2025-12-11,W05,GD01,1,42800
2025-12-07,S02,BK02,1,22000
2025-10-12,C03,BK01,3,46200
2025-10-24,C03,GD02,6,294400
2025-11-19,W05,GD01,1,46900
2025-12-09,W05,ST01,3,22100
2025-12-24,W05,GD01,4,162400
2025-10-19,N01,ST01,2,16400
2025-11-03,C03,GD01,2,94200
2025-12-06,C03,BK02,3,62200
2025-12-24,E04,ST01,1,8800
2025-10-28,C03,FD01,4,27100
2025-11-27,S02,FD01,4,31500
2025-11-05,S02,FD01,5,38400
2025-11-16,S02,TY01,4,104000
2025-11-23,S02,FD01,2,11300
2025-11-09,N01,GD01,2,84700
2025-11-08,N01,GD02,1,53400
2025-12-19,E04,BK01,1,16000
2025-11-08,W05,BK02,1,16300
2025-12-16,N01,FD01,2,13200
2025-12-22,W05,FD01,2,12600
2025-12-11,N01,GD02,1,53300
2025-12-17,E04,TY01,4,91200
2025-10-24,E04,GD01,2,94100
2025-12-13,E04,GD01,2,92600
2025-10-13,S02,FD01,2,11900
2025-12-08,W05,GD02,1,47700
2025-10-28,C03,BK01,1,13600
2025-10-11,S02,FD01,1,7900
2025-10-06,W05,GD01,1,46100
2025-11-21,E04,BK01,3,39300
2025-10-01,S02,BK01,2,30500
2025-12-17,E04,BK01,2,29000
2025-12-25,S02,GD01,3,108900
2025-12-21,W05,GD02,2,95400
2025-12-15,S02,TY01,4,103400
2025-12-04,W05,BK02,2,37800
2025-10-07,C03,GD02,2,103600
2025-11-17,N01,BK01,5,61800
2025-12-10,W05,BK02,5,109600
2025-10-05,C03,FD01,6,46500
2025-10-04,S02,ST01,2,18800
2025-11-14,S02,GD02,2,99600
2025-11-19,E04,BK02,3,52900
2025-12-13,N01,GD01,3,142300
2025-12-11,N01,TY01,2,45200
2025-11-27,C03,GD02,4,218300
2025-11-26,S02,BK02,2,33400
2025-10-09,C03,GD01,2,70700
2025-10-04,S02,TY01,2,44800
2025-10-18,C03,GD02,1,49700
2025-11-01,W05,BK01,2,31600
2025-11-05,W05,GD02,3,152000
2025-12-14,W05,BK02,1,16600
2025-11-06,C03,GD02,1,51200
2025-11-17,W05,TY01,1,28300
2025-10-19,S02,GD02,1,64000
2025-11-09,S02,TY01,2,48400
2025-10-27,E04,GD02,1,53500
2025-11-24,S02,FD01,3,20500
2025-11-10,S02,BK02,3,60400
2025-12-22,N01,FD01,2,12600
2025-11-28,S02,BK02,2,41300
2025-12-07,C03,FD01,1,6600
2025-10-12,N01,GD02,5,270900
2025-11-06,C03,BK01,1,15800
2025-12-09,C03,GD01,1,48000
2025-12-01,W05,TY01,3,73100
2025-12-01,S02,TY01,1,21500
2025-10-24,E04,BK02,1,18900
2025-12-28,S02,BK02,4,68900
2025-10-25,C03,BK01,3,43700
2025-12-04,N01,TY01,2,52800
2025-10-17,W05,GD01,3,137900
2025-11-12,C03,BK02,2,37900
2025-10-24,N01,BK01,1,15900
2025-10-23,S02,TY01,2,49300
2025-11-03,E04,TY01,2,54900
2025-11-07,N01,GD01,3,112200
2025-12-09,S02,TY01,5,124500
2025-12-04,N01,GD01,2,85900
2025-12-06,W05,FD01,4,31200
2025-10-02,S02,GD02,3,161900
2025-12-01,S02,GD01,5,231200
2025-10-27,W05,TY01,1,26900
2025-10-27,C03,TY01,1,25100
2025-10-21,E04,BK02,5,105000
2025-11-16,S02,TY01,2,54500
2025-12-01,W05,FD01,6,35800
2025-11-01,N01,TY01,3,76300
2025-12-14,W05,BK01,2,27900
2025-10-02,C03,GD02,4,255300
2025-12-16,W05,GD01,2,74800
2025-10-28,W05,ST01,3,22200
2025-11-08,W05,GD01,1,41500
2025-10-24,W05,BK01,6,92500
2025-10-08,N01,ST01,5,45900
2025-12-26,W05,BK01,2,29300
2025-10-11,W05,GD02,2,102100
2025-12-05,C03,FD01,1,7300
2025-11-16,N01,TY01,4,83400
2025-12-09,W05,TY01,4,103500
2025-10-02,C03,BK02,3,59400
2025-10-01,W05,TY01,1,20300
2025-12-11,S02,FD01,1,6600
2025-10-24,W05,BK01,1,15200
2025-12-25,E04,GD01,1,36800
2025-12-19,N01,BK02,1,19100
2025-11-23,C03,TY01,3,77600
2025-11-06,W05,BK02,2,33100
2025-10-16,N01,ST01,1,8500
2025-11-20,N01,BK01,3,36700
2025-12-06,E04,FD01,1,7700
2025-10-18,S02,BK02,4,89300
2025-10-18,E04,GD01,5,216200
2025-10-11,C03,TY01,2,41800
2025-10-10,E04,ST01,4,35300
2025-11-27,C03,GD01,4,185200
2025-12-13,S02,GD01,4,196500
2025-12-21,C03,BK02,3,62000
